column_name,group_f_value,group_df,group_residual_df,group_p_value,group_p_adjusted,rsfmri_c_ngd_meanmotion_estimate,rsfmri_c_ngd_meanmotion_t_value,rsfmri_c_ngd_meanmotion_std_error,rsfmri_c_ngd_meanmotion_p_value,sex_f_value,sex_df,sex_residual_df,sex_p_value,eventname_f_value,eventname_df,eventname_residual_df,eventname_p_value
rsfmri_cor_ngd_sa_scs_cderh,0.5307,1,2914.0671,0.4664,0.8354,-0.0385,-3.3655,0.0114,0.0008,0.0047,1,2818.898,0.9455,49.7584,1,2816.4239,0
rsfmri_cor_ngd_sa_scs_hplh,1.7835,1,2895.2428,0.1818,0.5893,0.0448,5.4993,0.0081,0,41.8856,1,2856.6503,0,9.3307,1,2951.1587,0.0023
rsfmri_cor_ngd_sa_scs_hprh,2.0389,1,2909.2221,0.1534,0.5825,0.0464,4.6068,0.0101,0,12.2947,1,2839.8556,0.0005,0.0295,1,2851.8527,0.8635
rsfmri_cor_ngd_sa_scs_ptlh,10.5361,1,2897.0803,0.0012,0.1113,0.0317,4.922,0.0064,0,5.2483,1,2852.5025,0.022,17.6228,1,2947.5734,0
rsfmri_cor_ngd_sa_scs_ptrh,0.0588,1,2892.2774,0.8085,0.9626,-0.054,-7.444,0.0073,0,21.5405,1,2880.5716,0,2.9604,1,2950.2889,0.0854
rsfmri_cor_ngd_sa_scs_thplh,0.3874,1,2893.0222,0.5337,0.865,-0.0392,-3.4421,0.0114,0.0006,0.0071,1,2847.5612,0.9329,45.012,1,2949.1812,0
rsfmri_cor_ngd_sa_scs_thprh,3.642,1,2888.5616,0.0564,0.4793,-0.0245,-5.707,0.0043,0,0.1884,1,2865.1442,0.6643,10.5587,1,2957.0626,0.0012
rsfmri_cor_ngd_vta_scs_aalh,0.2782,1,2905.8192,0.5979,0.9214,-0.0279,-2.9175,0.0096,0.0036,2.195,1,2860.3492,0.1386,7.7468,1,2781.6945,0.0054
rsfmri_cor_ngd_vta_scs_aarh,0.0707,1,2908.8153,0.7903,0.9626,0.0039,0.6494,0.006,0.5162,0.0332,1,2779.8477,0.8554,2.8631,1,2905.2034,0.0907
rsfmri_cor_ngd_vta_scs_aglh,0.8319,1,2902.3192,0.3618,0.8092,-0.0541,-7.2934,0.0074,0,0.1379,1,2861.8786,0.7104,2.7474,1,2898.6768,0.0975
rsfmri_cor_ngd_vta_scs_agrh,0.0003,1,2904.9921,0.9855,0.991,0.0188,3.0346,0.0062,0.0024,5.7341,1,2769.7276,0.0167,5.3137,1,2896.601,0.0212
rsfmri_cor_ngd_vta_scs_cdelh,0.1887,1,2899.7751,0.664,0.9626,-0.0056,-0.8135,0.0069,0.416,2.346,1,2827.1565,0.1257,6.018,1,2937.7344,0.0142
rsfmri_cor_ngd_vta_scs_cderh,0.0313,1,2901.1404,0.8597,0.9626,0.0101,1.4411,0.007,0.1497,0.5034,1,2849.4844,0.4781,0.0674,1,2933.43,0.7953
rsfmri_cor_ngd_vta_scs_hplh,0.0055,1,2909.115,0.941,0.991,-0.0041,-0.4048,0.0101,0.6857,15.8515,1,2809.5842,0.0001,76.5552,1,2911.8221,0
rsfmri_cor_ngd_vta_scs_hprh,2.3721,1,2901.3845,0.1236,0.5743,-0.0219,-3.5466,0.0062,0.0004,23.2985,1,2818.9107,0,13.2377,1,2932.6511,0.0003
rsfmri_cor_ngd_vta_scs_ptlh,0.0094,1,2908.5676,0.9229,0.991,0.0167,2.4867,0.0067,0.0129,1.7103,1,2809.9001,0.191,0.0137,1,2914.4775,0.9068
rsfmri_cor_ngd_vta_scs_ptrh,2.0242,1,2903.3548,0.1549,0.5825,0.0198,2.9598,0.0067,0.0031,1.196,1,2823.2565,0.2742,2.0966,1,2931.866,0.1477
rsfmri_cor_ngd_vta_scs_thplh,0.004,1,2907.5977,0.9499,0.991,0.012,1.1029,0.0109,0.2702,0.3756,1,2851.7593,0.54,17.7482,1,2712.7497,0
rsfmri_cor_ngd_vta_scs_thprh,0.4631,1,2916.0395,0.4962,0.8354,0.005,0.6523,0.0077,0.5143,8.7241,1,2803.2964,0.0032,0.1653,1,2832.677,0.6843
